ID-Nr       	fat/lean70
7984-1653	0.0896712702
7984-1654	0.1275767293
7984-1655	0.1359593393
7984-1656	0.2262882748
7984-1657	0.1313047103
7984-1658	0.1050080775
7984-1659	0.0668546114
7984-1660	0.0800309298
7984-1661	0.1324616259
7984-1662	0.1418421720
7984-1663	0.1044472681
7984-1664	0.1632873750
7984-1665	0.1596699830
7984-1666	0.1511803114
7984-1667	0.1651114074
7984-1668	0.1471990465
7984-1669	0.1140107348
7984-1670	0.1683848797
7984-1671	0.1836928182
7984-1672	0.1965601966
7984-1673	0.2393258427
7984-1674	0.2073529412
7984-1675	0.0342429106
7984-1676	0.0268620269
7984-1677	0.1244323342
7984-1678	0.1332221163
7984-1679	0.1118949161
7984-1680	0.1649855908
7984-1681	0.1486452266
7984-1682	0.1727722772
7984-1683	0.1077570435
7984-1684	0.1385660647
7984-1685	0.2482027318
7984-1686	0.1570492496
7984-1687	0.0723411913
7984-1688	0.0747314339
7984-1689	0.0403920906
7984-1690	0.0281471248
7984-1691	0.1718671364
7984-1692	0.1994161930
7984-1693	0.2062943424
7984-1694	0.1428571429
7984-1695	0.1148785425
7984-1696	0.0330592105
7984-1697	0.0407635070
7984-1698	0.2119717152
7984-1699	0.1770923583
7984-1700	0.0720414730
7984-1701	0.2177174133
7984-1702	0.1234907859
7984-1703	0.2049254406
7984-1704	0.0248783126
7984-1705	0.0486910995
7984-1706	0.1086320410	
7984-1708	0.0956363636
7984-1709	0.1571801567
7984-1710	0.0778681120
7984-1711	0.2026462396
7984-1712	0.0850616960
7984-1713	0.1540737369
7984-1714	0.1664998999
7984-1715	0.1000351000
7984-1716	0.1331463099
7984-1717	0.1445054945
7984-1718	0.1092117759
7984-1719	0.1979381443
7984-1720	0.1976225854
7984-1721	0.1679494228
7984-1722	0.1426137746
7984-1723	0.1424949290
7984-1724	0.1761247444
7984-1725	0.1657216495
7984-1726	0.1236162362
7984-1727	0.1475381415
7984-1728	0.2081055608
7984-1729	0.1180102311
7984-1730	0.0638184719
7984-1731	0.1101969584
7984-1732	0.1023603083
7984-1733	0.2115480338
7984-1734	0.0677842566
7984-1735	0.1772786742
7984-1736	0.0966512934
7984-1737	0.1453439597
7984-1738	0.1381506699
7984-1739	0.0984108750
7984-1740	0.2254901961
7984-1741	0.2344931921
7984-1742	0.0844235991
7984-1743	0.2051352090
7984-1744	0.1167969675
7984-1745	0.1270398315
7984-1746	0.1646754281
7984-1747	0.1099290780
7984-1748	0.1457124436
7984-1749	0.0740667588
7984-1750	0.1144197798
7984-1751	0.0441039058
7984-1752	0.0937179925
7984-1753	0.0979568990
7984-1754	0.1048366013
7984-1755	0.0834165834
7984-1756	0.0636669156
7984-1757	0.0807620625
7984-1758	0.0925520263
7984-1759	0.0648892374
7984-1760	0.0662961493
7984-1761	0.1315319908
7984-1762	0.1761879338
7984-1763	0.1181456954
7984-1764	0.0659403670
7984-1765	0.1216531896
7984-1766	0.1224022879
7984-1767	0.0813182527
7984-1768	0.1180160753
7984-1769	0.1927018245
7984-1770	0.1692034500
7984-1771	0.1344559585
7984-1772	0.1027764247
7984-1773	0.1057137169
7984-1774	0.1133691971
7984-1775	0.1295152536
7984-1776	0.1036492651
7984-1777	0.1620182556
7984-1778	0.1139638460
7984-1779	0.1395530146
7984-1780	0.1088193457
7984-1781	0.0994523936
7984-1782	0.0691765579
7984-1783	0.0735294118
7984-1784	0.0637358418
7984-1785	0.2268501302
7984-1786	0.0976220275
7984-1787	0.1292213229
7984-1788	0.1500242365
7984-1789	0.2137302226
7984-1790	0.3688524590
7984-1791	0.2864003493
7984-1792	0.1428025234
7984-1793	0.3199629029
7984-1794	0.1464809749
7984-1795	0.1466486730
7984-1796	0.1730673317
7984-1797	0.2067200712
7984-1798	0.5826978701
7984-1799	0.0819063338
7984-1800	0.0958265802
7984-1801	0.1042907001
7984-1802	0.0923482850
7984-1803	0.0780247969
7984-1804	0.1540184125
7984-1805	0.1320754717
7984-1806	0.1132029340
7984-1807	0.1207453416
7984-1808	0.1049046322
7984-1809	0.0720312822
7984-1810	0.1333333333
7984-1811	0.1722397476
7984-1812	0.1176710930
7984-1813	0.1632255551
7984-1814	0.2200077399
7984-1815	0.1186577181
7984-1816	0.2099165894
7984-1817	0.0979557070
7984-1818	0.1705490849
7984-1819	0.1214905564
7984-1820	0.1073669533
7984-1821	0.1365338031
7984-1822	0.1337553604
7984-1823	0.1766848816
7984-1824	0.1194567627
7984-1825	0.1711471919
7984-1826	0.1459403905
7984-1827	0.1594341884
7984-1828	0.1804919908
7984-1829	0.0995586937
7984-1830	0.1060034305
7984-1831	0.1478717992
7984-1832	0.0436271859
7984-1833	0.0246807042
7984-1834	0.1589420655
7984-1835	0.2355677733
7984-1836	0.0600290170
7984-1837	0.0655153997
7984-1838	0.1139937107
7984-1839	0.2009750813
7984-1840	0.2321473003
7984-1841	0.1190992946
7984-1842	0.1291390728
7984-1843	0.1416646207
7984-1844	0.1093066833
7984-1845	0.0926792735
7984-1846	0.0583349812
7984-1847	0.0498227281
7984-1848	0.1071223983
7984-1849	0.1413333333
7984-1850	0.1072326166
7984-1851	0.1389373909
7984-1852	0.0588967972
7984-1853	0.0730186999
7984-1854	0.0707466758
7984-1855	0.0544831319
7984-1856	0.0424325717
7984-1857	0.0769822941
7984-1858	0.0693345742
7984-1859	0.0829542414
7984-1860	0.0716816571
7984-1861	0.2377138697
7984-1862	0.0822966507
7984-1863	0.1032888889
7984-1864	0.1063259839
7984-1865	0.1225407532
7984-1866	0.0873060385
7984-1867	0.1427537979
7984-1868	0.1199052133
7984-1869	0.1492325856
7984-1870	0.1849234393
7984-1871	0.1085675431
7984-1872	0.1557218735
7984-1873	0.1449098880
7984-1874	0.1015655577
7984-1875	0.3522984175
7984-1876	0.1044655486
7984-1877	0.1118580766
7984-1878	0.1490205802
7984-1879	0.1672131148
7984-1880	0.1828447862
7984-1881	0.0974472263
7984-1882	0.0820568928
7984-1883	0.0669463699
7984-1884	0.0631804391
7984-1885	0.0413164014
7984-1886	0.1512369294
7984-1887	0.1337941249
7984-1888	0.1172733936
7984-1889	0.0837185413
7984-1890	0.0801741803
7984-1891	0.1249262247
7984-1892	0.1723431975
