ID-Nr	fat/lean70
8015-1468	0.0428368290
8015-1469	0.1276595745
8015-1470	0.1205867727
8015-1471	0.0936562860
8015-1472	0.1026033691
8015-1473	0.0989440751
8015-1474	0.0748162993
8015-1475	0.1308521058
8015-1476	0.0477025605
8015-1477	0.0413351781
8015-1478	0.0769939215
8015-1479	0.0312500000
8015-1480	0.0217470098
8015-1481	0.0866435617
8015-1482	0.1247052659
8015-1483	0.0878096640
8015-1484	0.0931540342
8015-1485	0.0958268934
8015-1486	0.1070249882
8015-1487	0.0343735866
8015-1488	0.0457926930
8015-1489	0.0414958176
8015-1490	0.0648269105
8015-1491	0.0710048849
8015-1492	0.0442533229
8015-1493	0.1458077710
8015-1494	0.1113440973
8015-1495	0.1255411255
8015-1496	0.1231476750
8015-1497	0.0524557957
8015-1498	0.0671513296
8015-1499	0.0390640895
8015-1500	0.0901430031
8015-1501	0.1041117554
8015-1502	0.1194280908
8015-1503	0.1169045005
8015-1504	0.1069277108
8015-1505	0.1339911711
8015-1506	0.0922536513
8015-1507	0.2022933425
8015-1508	0.0561492483
8015-1509	0.0884101040
8015-1510	0.1225066196
8015-1511	0.1077400448
8015-1512	0.1419601420
8015-1513	0.1036615537
8015-1514	0.1778474903
8015-1515	0.0996563574
8015-1516	0.1927639383
8015-1517	0.0698456668
8015-1518	0.1242554939
8015-1519	0.0572227874
8015-1520	0.1243641913
8015-1521	0.1257470120
8015-1522	0.1067549669
8015-1523	0.0938908363
8015-1524	0.0747782003
8015-1525	0.0449841605
8015-1526	0.0629450953
8015-1527	0.0691253527
8015-1528	0.0634218289
8015-1529	0.0864265928
8015-1530	0.0674915636
8015-1531	0.0631111111
8015-1532	0.0694918298
8015-1533	0.0627031160
8015-1534	0.0830502076
8015-1535	0.0534391534
8015-1536	0.0561646470
8015-1537	0.0996716698
8015-1538	0.1066255046
8015-1539	0.1417555001
8015-1540	0.0878186969
8015-1541	0.0981818182
8015-1542	0.1364475628
8015-1543	0.1277767905
8015-1544	0.0876558829
8015-1545	0.1415291216
8015-1546	0.3843469591
8015-1547	0.1783138523
8015-1548	0.1587467363
8015-1549	0.0803858521
8015-1550	0.0401064436
8015-1551	0.0483687405
8015-1552	0.0687910028
8015-1553	0.0780648708
8015-1554	0.0771860381
8015-1555	0.0599927720
8015-1556	0.0395888847
8015-1557	0.0585430969
8015-1558	0.0596393897
8015-1559	0.0682875264
8015-1560	0.0820403068
8015-1561	0.1101442069
8015-1562	0.1308629179
8015-1563	0.1427172583
8015-1564	0.0896785110
8015-1565	0.1087973795
8015-1566	0.1433004231
8015-1567	0.1141990904
8015-1568	0.2461538462
8015-1569	0.0607493634
8015-1570	0.0330172706
8015-1571	0.1408427061
8015-1572	0.0245255997
8015-1573	0.2483076090
8015-1574	0.1754345837
8015-1575	0.1237892747
8015-1576	0.0461240310
8015-1577	0.0546146527
8015-1578	0.0517141197
