animals,fatlean
B,0.0499260355
B,0.0459203036
B,0.0804965206
B,0.0794383891
B,0.1160372195
B,0.1529843893
B,0.0775552131
B,0.0766328012
B,0.1407888168
B,0.176093681
B,0.1440266053
B,0.0270220588
B,0.065007716
B,0.061718595
B,0.107258668
B,0.1458123108
B,0.0871499607
B,0.0502293578
B,0.1153028693
B,0.1191682218
B,0.0550998573
B,0.0342391304
B,0.0702981229
B,0.1072060683
B,0.0901518863
B,0.132453692
B,0.071804878
B,0.1417277285
B,0.0645743146
B,0.0472455649
B,0.1199905146
B,0.1394029114
B,0.1201946472
B,0.1153004135
B,0.125865775
B,0.1523883697
B,0.0496906057
B,0.0691270139
B,0.0230686695
B,0.1071217203
B,0.1072555205
B,0.1206476323
B,0.1369086549
B,0.1307464162
B,0.1380803464
B,0.0793172691
B,0.0654354765
B,0.051143201
B,0.0738498789
B,0.0442974544
B,0.0684529271
B,0.1042424242
B,0.0402939686
B,0.0631760079
B,0.1023139113
B,0.0434666667
B,0.0869877786
B,0.0729042511
B,0.0765531833
B,0.0862348178
B,0.09570626
B,0.0722138931
B,0.0799210656
B,0.1028613715
B,0.0904286553
B,0.0788208907
B,0.050681902
B,0.0616660656
B,0.0525823353
B,0.0746932243
B,0.0675961878
B,0.0640648012
B,0.0982958755
B,0.0779448622
B,0.0544712562
B,0.0809352518
B,0.110990991
B,0.0665535445
B,0.076150067
B,0.0621454358
B,0.0772984078
B,0.04875
B,0.0751121076
B,0.1148691768
B,0.0590608951
B,0.0625227853
B,0.1322033898
B,0.0976163451
B,0.1498576657
B,0.1177132146
B,0.1014595942
B,0.0266234934
B,0.1184273999
B,0.1231903132
B,0.0515819751
B,0.0507328072
B,0.0352494577
B,0.0477060866
B,0.0765934655
B,0.1181444793
B,0.1164257556
B,0.0655407109
B,0.0783063965
B,0.0740144811
B,0.0662598082
B,0.0644991213
B,0.0607040913
B,0.0440761636
B,0.0575896964
B,0.0253425943
B,0.0812434692
B,0.0912035883
B,0.0717586962
B,0.0476993496
B,0.0521258708
B,0.0957024196
B,0.1198934281
B,0.0609007165
B,0.0615114236
B,0.0312553963
B,0.0477548111
B,0.1358112938
B,0.1078328982
B,0.0719617225
B,0.0647940075
B,0.0760573607
B,0.1050593702
B,0.0694652674
B,0.0840160363
B,0.0782818892
B,0.1374321881
B,0.2068965517
B,0.1220396327
B,0.1509650735
B,0.3691673112
B,0.0635368281
B,0.0711009174
B,0.0440464666
B,0.042836829
B,0.1276595745
B,0.1205867727
B,0.093656286
B,0.0989440751
B,0.0748162993
B,0.1308521058
B,0.0477025605
B,0.0769939215
B,0.03125
B,0.0217470098
B,0.0866435617
B,0.1247052659
B,0.087809664
B,0.0931540342
B,0.0958268934
B,0.1070249882
B,0.0343735866
B,0.045792693
B,0.0414958176
B,0.0648269105
B,0.0710048849
B,0.0442533229
B,0.145807771
B,0.1113440973
B,0.1255411255
B,0.123147675
B,0.0524557957
B,0.0671513296
B,0.0390640895
B,0.0901430031
B,0.1041117554
B,0.0922536513
B,0.2022933425
B,0.0561492483
B,0.088410104
B,0.1225066196
B,0.1077400448
B,0.141960142
B,0.1036615537
B,0.1778474903
B,0.0996563574
B,0.1927639383
B,0.0698456668
B,0.1242554939
B,0.0572227874
B,0.1243641913
B,0.125747012
B,0.1067549669
B,0.0938908363
B,0.0747782003
B,0.0449841605
B,0.0629450953
B,0.0691253527
B,0.0634218289
B,0.0864265928
B,0.0674915636
B,0.0631111111
B,0.0694918298
B,0.062703116
B,0.0830502076
B,0.0534391534
B,0.056164647
B,0.0996716698
B,0.1066255046
B,0.1417555001
B,0.0878186969
B,0.0981818182
B,0.1364475628
B,0.1277767905
B,0.0876558829
B,0.1415291216
B,0.3843469591
B,0.1783138523
B,0.1587467363
B,0.0803858521
B,0.0401064436
B,0.0483687405
B,0.0687910028
B,0.0780648708
B,0.0771860381
B,0.059992772
B,0.0395888847
B,0.0585430969
B,0.0596393897
B,0.0682875264
B,0.0820403068
B,0.1101442069
B,0.1308629179
B,0.1427172583
B,0.089678511
B,0.1087973795
B,0.1433004231
B,0.1141990904
B,0.0607493634
B,0.0330172706
B,0.1408427061
B,0.0245255997
B,0.248307609
B,0.1754345837
B,0.1237892747
B,0.046124031
B,0.0546146527
B,0.0517141197
B,0.0707465278
B,0.0875826251
B,0.1465517241
B,0.1342882722
B,0.1388499299
B,0.1346662746
B,0.1132075472
B,0.0725860155
B,0.1127676877
B,0.0720942982
B,0.0278937381
B,0.0353148911
B,0.0344493904
B,0.0416182733
B,0.0385810934
B,0.0806253832
B,0.0657527291
B,0.08
B,0.0852956567
B,0.0263711064
B,0.0452711002
B,0.0371287129
B,0.0549026809
B,0.1141433831
B,0.053951642
B,0.1838043696
B,0.0494117647
B,0.1016369411
B,0.1194396658
B,0.2475851551
B,0.0619109222
B,0.0601756681
B,0.0481392335
B,0.0932667143
B,0.0802936997
B,0.064634238
B,0.061037762
B,0.048952023
B,0.049964843
B,0.116918208
B,0.068334783
B,0.055435077
B,0.123284229
B,0.094001594
B,0.08747591
B,0.131950509
B,0.066532053
B,0.180412154
B,0.100926829
B,0.080595581
B,0.097966812
B,0.084183109
B,0.054721781
B,0.186115867
B,0.167487979
B,0.114646611
B,0.123098472
B,0.412490694
B,0.49248721
B,0.482911195
B,0.445694211
B,0.060090078
B,0.099312298
B,0.054733219
B,0.088185231
B,0.140432858
B,0.164123145
B,0.100564512
B,0.111601417
B,0.083898886
B,0.066149658
B,0.108521693
B,0.061271549
B,0.046105079
B,0.085242992
B,0.141405274
B,0.140459526
B,0.134961275
B,0.051148784
B,0.049680681
B,0.164519535
B,0.073829464
B,0.122813429
B,0.112651732
B,0.087610408
B,0.085411794
B,0.120291389
B,0.082708965
B,0.082372856
B,0.343750396
B,0.159900577
B,0.085570192
B,0.057359854
B,0.19873026
B,0.17209393
B,0.026773618
B,0.125639787
B,0.075306299
B,0.064015282
B,0.11816796
B,0.025300557
B,0.039439467
B,0.131604737
B,0.108279935
B,0.096060094
